Total,Batteries,Biogas,Biomass,Coal,Geothermal,Imports,Large Hydro,Gas,Nuclear,Other,Small Hydro,Solar,Wind
21624.809,-383.86957,178.95943,261.0029,-0.089855075,769.2927,5118.151,2549.5073,8288.227,1875.0928,0,262.07535,-5.098551,2711.5593
21602.115,-389.6406,178.9971,261.24927,-0.08115942,769.43475,5107.2173,2551.258,8288.623,1875.113,0,262.07825,-5.368116,2703.2349
21581.127,-384.9652,178.9913,261.44348,-0.07536232,769.4145,5095.5884,2551.3362,8284.577,1874.9797,0,262.13623,-5.5681157,2693.2695
21556.918,-382.2,178.9913,261.32175,-0.072463766,769.4377,5082.238,2550.1536,8283.47,1874.9711,0,262.13043,-5.768116,2682.2463
21535.861,-378.9768,178.95073,261.51883,-0.08405797,769.2927,5072.991,2550.4116,8278.742,1874.8406,0,262.0493,-5.973913,2672.0986
21521.621,-362.3681,178.91884,261.6232,-0.07536232,768.913,5057.3306,2551.3218,8271.565,1874.8667,0,262.07825,-6.208696,2663.655
21517.145,-346.30725,178.90434,261.6232,-0.09855072,768.5942,5053.452,2554.9102,8262.395,1874.6812,0,262.0348,-6.556522,2653.513
21574.188,-307.52173,178.86957,262.46088,-0.055072464,768.6174,5074.939,2586.2117,8236.122,1874.5536,0,261.9623,-6.863768,2644.8928
21626.02,-258.46378,178.7855,262.5826,-0.060869563,768.4145,5083.4756,2608.0464,8218.533,1874.313,0,262.429,-7.423188,2635.3884
21640.688,-222.96233,178.8087,262.44928,-0.07536232,768.3391,5062.536,2613.7305,8223.209,1874.3102,0,262.6348,-7.614493,2625.3218
21653.125,-198.47246,178.73334,262.52753,-0.08115942,768.2754,5037.9507,2622.8406,8237.945,1874.3159,0,262.6087,-7.8289857,2614.31
21652.992,-180.95363,178.69855,262.4145,-0.08695652,768.37683,5020.5625,2613.3682,8259.682,1874.4812,0,262.65216,-8.052174,2601.8494
21654.277,-156.7855,178.6,262.28406,-0.08695652,768.4609,4988.4697,2609.2202,8286.15,1874.5188,0,262.6029,-8.304348,2589.1477
21679.78,-127.96812,178.58551,262.55652,-0.07826087,768.48114,4959.687,2616.9856,8315.974,1874.4608,0,262.5739,-8.611594,2577.1333
21707.09,-88.45217,178.58551,262.34784,-0.07826087,768.2348,4925.2983,2624.7131,8341.866,1874.3798,0,262.77393,-9.049275,2566.4695
21723.953,-55.83768,178.55942,262.34494,-0.07826087,768.1652,4884.7334,2628.342,8372.742,1874.3884,0,262.8087,-9.42029,2557.2058
21749.744,-31.173914,178.72174,262.429,-0.09855072,768.05505,4857.8784,2634.9246,8401.507,1874.2493,0,262.66086,-9.573913,2550.1653
21781.58,9.701449,178.64058,262.82608,-0.10144927,767.1623,4867.5854,2600.6406,8424.982,1874.2203,0,262.78262,-9.510145,2542.6492
21831.953,64.91594,178.49855,263.23187,-0.09855072,766.57104,4957.91,2495.461,8443.968,1874.1217,0,262.9768,-9.330435,2533.7275
21986.545,168.08986,178.36812,264.30145,-0.06376812,766.7942,5011.151,2508.9595,8432.742,1874.284,0,264.55942,-9.136231,2526.4956
22122.773,256.74203,178.26956,264.9623,-0.04927536,766.8174,5044.4233,2551.3796,8408.809,1874.0869,0,269.6058,-9.234782,2516.9624
22188.484,331.91885,178.16812,265.32465,-0.057971016,766.92175,5017.058,2557.542,8429.281,1874.1478,0,270.87247,-9.507246,2506.8145
22255.863,399.44186,178.26744,266.11917,-0.058139537,767.0058,4966.2324,2568.6628,8467.715,1878.2733,0,271.2471,-9.781977,2502.7383
22302.75,418.2965,178.14825,266.38083,-0.06686047,767.06396,4953.1367,2570.3022,8517.663,1878.3895,0,271.21802,-9.968023,2492.186
22346.066,459.2994,178.17151,266.11627,-0.06686047,766.93317,4911.3315,2573.433,8568.518,1878.4419,0,271.22385,-10.011628,2482.6772
22433.445,519.1686,178.0843,266.30524,-0.06104651,767.19476,4885.2207,2587.029,8618.581,1878.6221,0,271.05234,-9.322675,2471.5698
22511.895,590.61334,178.09302,266.31686,-0.06686047,767.1657,4850.881,2600.718,8655.872,1878.6395,0,271.23254,-7.104651,2459.535
22560.553,664.9971,178.05524,266.53198,-0.06395349,766.95056,4790.8984,2604.2937,8693.474,1878.8169,0,271.28488,-1.5436046,2446.8577
22616.684,715.06104,177.94186,266.93314,-0.09593023,766.85175,4749.7354,2613.5232,8732.273,1879.0901,0,271.2035,10.744186,2433.4216
22681.4,763.11334,177.77907,268.38373,-0.10174418,766.80817,4713.8433,2619.471,8768.828,1879.2936,0,271.26453,32.438953,2420.279
22773.426,819.75653,177.61159,270.72464,-0.12753624,766.5971,4691.0435,2622.7102,8809.589,1875.1478,0,270.88986,68.04058,2401.4434
23040.693,966.4174,177.39131,273.26376,-0.060869563,767.01447,4694,2669.4204,8830.89,1875.1449,0,270.90146,126.655075,2389.655
23249.629,1132.1014,177.31885,273.7942,-0.08115942,766.88116,4629.313,2707.2349,8830.275,1875.0087,0,272.52753,205.5971,2379.658
23347.705,1218.1942,177.13623,273.73914,-0.104347825,766.742,4527.4116,2715.3071,8847.823,1875.2377,0,272.44638,306.7971,2366.9739
23443.383,1227.2441,177.13663,274.36337,-0.113372095,766.82556,4461.1455,2717.2646,8872.431,1879.7616,0,272.5436,433.71802,2361.064
23520.684,1163.7384,177.06395,274.51163,-0.13081396,766.7151,4448.1714,2706.6309,8897.857,1880.218,0,272.46802,587.2878,2346.1511
23581.492,1104.5406,177.03198,274.4593,-0.13372093,766.3227,4400.1714,2696.5088,8905.526,1880.3605,0,272.39825,773.3663,2330.939
23669.236,1045.4855,176.99127,274.6744,-0.13081396,766.19183,4351.9624,2698.0232,8897.575,1880.5524,0,272.27615,993.7645,2311.8691
23756.855,978.7878,176.93605,274.48547,-0.13372093,766.1163,4295.384,2696.372,8875.529,1880.5261,0,272.3343,1246.9739,2293.5437
23812.018,882.4128,176.84012,274.44476,-0.15406977,765.98834,4220.5176,2681.8838,8846.916,1880.6395,0,272.43024,1536.846,2273.253
23882.717,775.7143,176.89214,274.66473,-0.1516035,765.56854,4157.376,2668.8748,8817.32,1879.4869,0,272.17786,1850.1312,2244.6619
23932.84,664.0233,176.71428,274.6793,-0.13702624,765.6472,4059.172,2640.9155,8765.137,1879.6472,0,272.0758,2212.793,2222.172
23990.918,617.2232,176.53912,274.52753,-0.12463768,765.57104,3911.197,2567.4897,8692.374,1876.516,0,271.88696,2635.1885,2202.5305
