Total,Batteries,Biogas,Biomass,Coal,Geothermal,Imports,Large Hydro,Natural Gas,Nuclear,Other,Small Hydro,Solar,Wind
24042.58550724638,0,178.94782608695652,260.7072463768116,-0.05507246376811594,767.3797101449276,5371.286956521739,3071.4115942028984,9545.278260869565,1882.4753623188406,0,264.25797101449274,-258.8840579710145,2959.7797101449273
24186.47536231884,0,179.02898550724638,260.8086956521739,-0.02318840579710145,767.7101449275362,5244.475362318841,2961.0550724637683,9443.278260869565,1882.2289855072463,0,264.03478260869565,229.2985507246377,2954.5797101449275
24223.76231884058,0,178.92753623188406,260.07246376811594,-0.07536231884057971,767.7913043478261,5194.066666666667,2922.2521739130434,9365.889855072464,1881.9391304347826,0,263.2463768115942,440.4231884057971,2949.2289855072463
24120.284057971014,0,178.85797101449276,259.84927536231885,-0.08695652173913043,767.8608695652174,5191.739130434783,2909.8521739130433,9331.457971014494,1881.8260869565217,0,262.5884057971015,394.0231884057971,2942.3159420289853
24069.147826086955,0,178.90144927536232,259.7971014492754,-0.08985507246376812,767.8550724637681,5261.240579710145,2904.426086956522,9294.857971014493,1881.6260869565217,0,262.4927536231884,321.5913043478261,2936.449275362319
23961.260869565216,0,178.9217391304348,259.54782608695655,-0.1072463768115942,767.872463768116,5276.026086956522,2884.7971014492755,9263.339130434782,1881.5768115942028,0,262.57971014492756,256.35072463768114,2930.3565217391306
23856.79420289855,0,178.85797101449276,259.4695652173913,-0.11304347826086956,767.7884057971014,5300.371014492754,2872.205797101449,9237.944927536231,1881.3942028985507,0,262.41449275362316,171.95942028985507,2924.501449275362
23755.768115942028,0,178.92463768115942,259.6202898550725,-0.11014492753623188,767.8608695652174,5314.782608695652,2865.289855072464,9205.521739130434,1881.2376811594204,0,262.2869565217391,101.42028985507247,2918.9333333333334
23663.88115942029,0,178.90434782608696,259.4811594202898,-0.12753623188405797,767.9014492753623,5333.371014492754,2857.6057971014493,9170.562318840579,1881.0840579710145,0,262.28985507246375,37.02608695652174,2915.782608695652
23557.19420289855,0,178.9449275362319,259.48985507246374,-0.11014492753623188,767.8927536231884,5338.084057971015,2849.895652173913,9138.034782608696,1880.9072463768116,0,262.231884057971,-30.707246376811593,2912.5304347826086
23459.486956521738,0,178.93623188405797,259.59420289855075,-0.11014492753623188,767.9623188405797,5340.463768115942,2843.4579710144926,9103.159420289856,1880.7594202898551,0,262.3159420289855,-87.82028985507246,2910.768115942029
23359.90724637681,0,179.02028985507246,259.7217391304348,-0.09855072463768116,767.8840579710145,5341.023188405798,2830.402898550725,9061.605797101449,1880.591304347826,0,262.2840579710145,-129.16811594202898,2906.6405797101447
23263.057971014492,0,179.1072463768116,259.9217391304348,-0.09565217391304348,768.0347826086957,5332.127536231884,2809.0173913043477,9009.55652173913,1880.4840579710144,0,262.2144927536232,-138.30144927536233,2900.991304347826
23211.13913043478,0,179.06376811594203,260.295652173913,-0.07246376811594203,768.1652173913044,5298.113043478261,2783.8202898550726,8965.107246376812,1880.1942028985507,0,262.2840579710145,-82.49855072463768,2896.6666666666665
23160.153623188406,0,179.04927536231884,260.05797101449275,-0.08695652173913043,768.2550724637681,5304.489855072464,2768.7652173913043,8920.12463768116,1879.982608695652,0,262.5768115942029,-73.06666666666666,2890.0057971014494
23072.379710144927,0,179.05217391304348,259.8985507246377,-0.08985507246376812,768.295652173913,5289.939130434783,2759.063768115942,8881.12463768116,1879.736231884058,0,262.4724637681159,-91.21739130434783,2884.104347826087
22987.39420289855,0,179.0231884057971,259.84057971014494,-0.1072463768115942,768.2608695652174,5301.324637681159,2749.6173913043476,8835.049275362318,1879.4985507246377,0,262.24347826086955,-126.42898550724638,2879.072463768116
22903.298550724638,0,179,259.68695652173915,-0.09855072463768116,768.2260869565217,5315.07536231884,2727.5188405797103,8797.692753623189,1879.591304347826,0,262.2144927536232,-158.02898550724638,2872.4202898550725
22820.318840579712,0,178.98840579710145,259.3536231884058,-0.09855072463768116,768.3942028985507,5320.620289855073,2714.695652173913,8772.733333333334,1879.4231884057972,0,262.168115942029,-203.57391304347826,2867.6144927536234
22742.704347826086,0,179,259.46666666666664,-0.08115942028985507,768.4782608695652,5324.568115942029,2707.4666666666667,8742.072463768116,1879.2753623188405,0,262.08985507246376,-240.48695652173913,2860.855072463768
22666.814492753623,0,178.94782608695652,259.4,-0.07536231884057971,768.5420289855073,5325.660869565218,2700.6782608695653,8713.478260869566,1879.1391304347826,0,262.09565217391304,-277.5739130434783,2856.521739130435
22592.608695652172,0,178.93623188405797,259.74202898550726,-0.07246376811594203,768.663768115942,5317.521739130435,2694.707246376812,8688.872463768115,1878.9797101449276,0,262.04927536231884,-306.5739130434783,2849.782608695652
22515.147826086955,0,178.968115942029,259.8695652173913,-0.07536231884057971,768.7420289855072,5311.339130434782,2689.704347826087,8655.127536231885,1878.6869565217391,0,262.0869565217391,-332.74782608695654,2843.4463768115943
22440.8115942029,0,179.00579710144928,260.0289855072464,-0.0927536231884058,768.7739130434783,5309.739130434783,2679.3594202898553,8617.617391304348,1878.5159420289856,0,262.1014492753623,-351.5275362318841,2837.289855072464
22378.476744186046,0,179.0203488372093,259.9912790697674,-0.09883720930232558,768.8023255813954,5303.139534883721,2660.357558139535,8587.587209302326,1877.2296511627908,0,262.0639534883721,-356.32267441860466,2836.7063953488373
22349.76453488372,0,178.98546511627907,260.4331395348837,-0.04941860465116279,768.8633720930233,5277.851744186047,2650.0203488372094,8568.959302325582,1876.7267441860465,0,262.09302325581393,-327.32267441860466,2833.203488372093
22307.73546511628,0,178.94476744186048,260.2470930232558,-0.05232558139534884,768.7819767441861,5265.813953488372,2643.1947674418607,8545.235465116279,1876.5116279069769,0,262.3343023255814,-322.28197674418607,2829.0058139534885
